I,P,Tgran,Theta,e_rest,kt,kt_is_default,label,mu,mu_g,n_samples,seed,tau
0.0007068203415789475,2.0018062350877193,0.006,0.0011684121649122806,0.5,300000.0,False,e0.5_k3.0e5_mu0.0_T0.006_s2,0.09590351478947366,0.0,57,2,-0.19198246561403512
0.0007081604805263158,1.994210692982456,0.006,0.0011791986421052633,0.5,300000.0,False,e0.5_k3.0e5_mu0.0_T0.006_s3,0.10537939871929825,0.0,57,3,-0.2102089040350877
0.0007071015426315791,2.000209543859649,0.015,0.003060196998245614,0.5,300000.0,False,e0.5_k3.0e5_mu0.0_T0.015_s1,0.08245282500000001,0.0,57,1,-0.16495967175438594
0.0007080029547368422,1.9950762754385964,0.015,0.003053625501754386,0.5,300000.0,False,e0.5_k3.0e5_mu0.0_T0.015_s2,0.0984262271754386,0.0,57,2,-0.19644094175438595
0.0007130814538596493,1.9668230649122806,0.015,0.0030637239157894737,0.5,300000.0,False,e0.5_k3.0e5_mu0.0_T0.015_s3,0.09208316877192983,0.0,57,3,-0.18109584912280702
0.0007191950035087718,1.9336466894736843,0.0005,4.818976312280702e-05,0.5,300000.0,False,e0.5_k3.0e5_mu0.1_T0.0005_s1,0.16232947070175438,0.1,57,1,-0.31403585368421044
0.0007111545766666665,1.9777016368421052,0.0005,5.0376748789473684e-05,0.5,300000.0,False,e0.5_k3.0e5_mu0.1_T0.0005_s2,0.17497988245614035,0.1,57,2,-0.34594799070175436
0.0007101469621052631,1.9830635263157894,0.0005,4.8953791315789476e-05,0.5,300000.0,False,e0.5_k3.0e5_mu0.1_T0.0005_s3,0.16508164298245612,0.1,57,3,-0.32748977596491224
0.0007092059519298245,1.9882605105263158,0.002,0.00018239248228070175,0.5,300000.0,False,e0.5_k3.0e5_mu0.1_T0.002_s1,0.14595249666666665,0.1,57,1,-0.2902030443859649
0.0007115213954385965,1.9753069631578948,0.002,0.00018436876666666667,0.5,300000.0,False,e0.5_k3.0e5_mu0.1_T0.002_s2,0.14208357736842103,0.1,57,2,-0.28065226596491233
0.0007119691792982455,1.9728716491228069,0.002,0.00018186498736842105,0.5,300000.0,False,e0.5_k3.0e5_mu0.1_T0.002_s3,0.1364398543859649,0.1,57,3,-0.26932976
0.0007054682028070176,2.0094328175438596,0.006,0.0006232345705263158,0.5,300000.0,False,e0.5_k3.0e5_mu0.1_T0.006_s1,0.12263328007017545,0.1,57,1,-0.2464945187719298
0.0007140013598245612,1.9616566140350877,0.006,0.0006325844296491228,0.5,300000.0,False,e0.5_k3.0e5_mu0.1_T0.006_s2,0.12348150333333333,0.1,57,2,-0.2422128503508772
0.0007114712421052632,1.975602261403509,0.006,0.0006377964398245614,0.5,300000.0,False,e0.5_k3.0e5_mu0.1_T0.006_s3,0.11278321428070176,0.1,57,3,-0.22288310140350878
0.0007122741105263158,1.9712046877192986,0.015,0.001911525856140351,0.5,300000.0,False,e0.5_k3.0e5_mu0.1_T0.015_s1,0.10707799394736842,0.1,57,1,-0.21101111263157896
0.0007072989454385965,1.9990568982456143,0.015,0.001897929010526316,0.5,300000.0,False,e0.5_k3.0e5_mu0.1_T0.015_s2,0.09777556180701753,0.1,57,2,-0.19550760631578948
0.0007153299831578947,1.9546096596491227,0.015,0.0019231364526315791,0.5,300000.0,False,e0.5_k3.0e5_mu0.1_T0.015_s3,0.08325298840350877,0.1,57,3,-0.1630863979122807
0.0007132803229824562,1.9656996333333332,0.0005,5.5415291456140354e-05,0.5,300000.0,False,e0.5_k3.0e5_mu0.3_T0.0005_s1,0.2493888845614035,0.3,57,1,-0.4902289466666667
