mu_g,Tgran,seed,mu,a_c,a_n,a_t,f_mean,cv_f,pr_f,ncon,chi,P
0.5,0.0005,2,0.1974735280888884,0.08291279913552227,0.3127133188118475,-0.0006790571303725341,14.44645022078295,0.6867487508779854,0.6795420924018557,7920.5,0.004321543405898847,10.0
0.5,0.0015,1,0.27765338893241337,0.22400485194938485,0.26748284709314435,0.06381908325622997,11.912266171133645,0.753907423993779,0.6376240117371806,6423.3,0.022697806859926423,10.0
0.5,0.0015,2,0.27633222701347865,0.2207684312921862,0.2664941320068889,0.0654018966839396,11.844170339034061,0.7590252132078924,0.6344779328741084,6441.7,0.023123348031992792,10.0
0.5,0.001,1,0.2813365918731462,0.2260985961858947,0.2703765051977402,0.06619808959092473,11.919311712038247,0.7591028748671202,0.634440292474154,6420.8,0.025224905638439238,10.0
0.5,0.001,2,0.2838871964775032,0.22800000306169016,0.2719177985244314,0.0678565871979264,11.893431389584986,0.7523763557706331,0.6385830316795229,6411.65,0.024928160892118727,10.0
0.5,0.003,1,0.2749646447864574,0.21485895934626154,0.2751077879121629,0.05996254252578437,11.57050399408249,0.7628947839903442,0.6321341729505442,6524.45,0.024616303167965325,10.0
0.5,0.003,2,0.27613499580577394,0.21201565904722175,0.28054584570020075,0.05970849076078251,11.81522666334781,0.760984049385114,0.6332912451550428,6524.9,0.02422850481604221,10.0
0.5,0.005,1,0.26600374139045646,0.2089088220521039,0.2670274926532795,0.05607116708757812,11.447971065490552,0.7573502125875492,0.6355156016593921,6602.85,0.025455010156158486,10.0
0.5,0.005,2,0.27280156302988023,0.21205644451720662,0.2785816177598309,0.05496506709759941,11.40226438109152,0.7638328101676679,0.6315621785988264,6619.85,0.025228148131999743,10.0
0.5,0.008,1,0.2678934680516715,0.21160424613633105,0.27372121568308716,0.05046147103001717,11.352915002782709,0.7651309639597671,0.6307776102019691,6730.7,0.02814349658804392,10.0
0.5,0.008,2,0.26264191391540076,0.2032702638339016,0.27037152990419694,0.051642034461799935,11.331323966221177,0.7643844928776329,0.6312174162629954,6702.1,0.02865322230569279,10.0
0.5,0.013,1,0.25102088833402736,0.19216841596075157,0.2656844725551267,0.044188888241477,10.995602782474721,0.7652967308158385,0.6306707076227722,6817.9,0.03309992176425009,10.0
0.5,0.013,2,0.25431923684606916,0.1977701008470375,0.2687028132431823,0.042165559760276396,11.13581115195922,0.7647662340039882,0.630988388696015,6816.0,0.03233353519711205,10.0
0.5,0.02,1,0.23802987349960475,0.1898878129594621,0.25065237709187355,0.03551956090309725,10.869570977895515,0.7604813159975501,0.6335924329735922,6947.5,0.037386739991230614,10.0
0.5,0.02,2,0.24715405603362678,0.20069970133706166,0.25884915715250817,0.03475925539703179,10.747350576722518,0.7620562996059956,0.6326527879469779,6936.05,0.03843538160701567,10.0
0.5,0.03,1,0.22738974686276542,0.1847125693214094,0.24403420861344868,0.02603271794227584,10.54902252544054,0.7515735112421484,0.6390494412879424,7083.85,0.045267041420450564,10.0
0.5,0.03,2,0.2261169336797602,0.17652805518727702,0.2484142874680748,0.02729152346843486,10.674467330002916,0.757594653678667,0.6353590649895376,7078.45,0.04422729404160842,10.0
0.05,0.0005,1,0.16236845840456274,0.11254517272339652,0.20772777572325452,0.004463965164172567,22.4028875634066,0.6985358694178136,0.6720842410519656,8237.9,0.08029060902381976,25.0
0.05,0.0005,2,0.15173971034695918,0.10718611791091097,0.19168290336021135,0.00461039888630171,22.40605427496474,0.6957434109859275,0.6738354127728557,8253.8,0.08039755353149405,25.0
0.05,0.0015,1,0.14151357589677613,0.10196293391654021,0.17835541808525066,0.002708798253078304,22.429693028475448,0.6879796475629848,0.6787515186125814,8305.25,0.0941985942943185,25.0
0.05,0.0015,2,0.14570737970671183,0.10275363355693097,0.18586615171610327,0.002794974870428818,22.254442387664923,0.6871832084843982,0.6792553783533486,8299.5,0.09376532602306462,25.0
0.05,0.001,1,0.1477318311503613,0.10172235239013012,0.19031982694065613,0.0034214813264858432,22.327925085034963,0.6938757176567948,0.6750177122017152,8275.5,0.08500288697985206,25.0
0.05,0.001,2,0.1470813820139341,0.10299236931911941,0.18774834491309567,0.0034220550061614453,22.40796211434523,0.6906562894506872,0.6770531542009649,8298.8,0.08631709543179364,25.0
0.05,0.003,1,0.13129046164325858,0.09716568079020094,0.16379156738466863,0.0016236799927916799,22.065537879442008,0.6906896392781025,0.677034186843355,8341.1,0.11812736120066128,25.0
0.05,0.003,2,0.13331807050613378,0.09595400479518225,0.16896700167666148,0.0017151343217420175,22.167878118607796,0.6795889127065448,0.6840777794326273,8358.6,0.11740041908284779,25.0
0.05,0.005,1,0.11848647061174795,0.08431510016212015,0.15165583483212192,0.001002007337820011,21.99384768455256,0.6812916576189586,0.682995902935786,8376.4,0.1428304983510518,25.0
0.05,0.005,2,0.12030837172965961,0.08602102363063409,0.15343096406175327,0.001164754741181489,22.191454260429303,0.6774855453128895,0.6854144333353679,8366.5,0.14233867182199228,25.0
0.05,0.008,1,0.11313510603716839,0.0781695904544433,0.14743687536301156,0.000663746695047343,21.95409777822039,0.6770553058770712,0.6856885010933038,8368.2,0.17240019484024682,25.0
0.05,0.008,2,0.11407069278627777,0.08060646029692126,0.14676801665177872,0.0007669072638307428,22.067580680513455,0.6755721068712192,0.686629662059155,8385.1,0.17050887189958852,25.0
0.05,0.013,1,0.10615727050561838,0.08066798437730276,0.13101721164039534,0.000629343439095907,22.19047148546265,0.672882598661168,0.6883442950239689,8342.05,0.2082726466374536,25.0
0.05,0.013,2,0.11152010216363215,0.08118448395698939,0.14128853909029854,0.0005671758633614491,22.135118592507105,0.6764410057901039,0.6860780636720005,8355.25,0.20670525979552976,25.0
0.05,0.02,1,0.10848438019036502,0.0815287654056772,0.1351105607144644,0.00032943418905019084,22.224072864231534,0.6753666423402058,0.6867618920365344,8321.8,0.24452527963032772,25.0
