P,mu_g,Tgran,seed,chi
10.0,0.3,0.0005,2,0.040055816766316185
10.0,0.3,0.0015,1,0.05687230449635504
10.0,0.3,0.0015,2,0.05716424895158555
10.0,0.3,0.001,1,0.05886671772986533
10.0,0.3,0.001,2,0.05963190114777327
10.0,0.3,0.003,1,0.057938654210176764
10.0,0.3,0.003,2,0.05760755486889033
10.0,0.3,0.005,1,0.06051979655302981
10.0,0.3,0.005,2,0.0601037327820674
10.0,0.3,0.008,1,0.06476087982226558
10.0,0.3,0.008,2,0.06482924959185107
10.0,0.3,0.013000000000000001,1,0.07185505528775375
10.0,0.3,0.013000000000000001,2,0.07144367061018767
10.0,0.3,0.02,1,0.08086719255971636
10.0,0.3,0.02,2,0.07930301065949968
10.0,0.3,0.03,1,0.09186478170340488
10.0,0.3,0.03,2,0.09065506218795563
10.0,0.5,0.0005,1,0.027816513296985108
10.0,0.5,0.0005,2,0.02903012993592528
10.0,0.5,0.0015,1,0.0445036401933615
10.0,0.5,0.0015,2,0.04499589808276543
10.0,0.5,0.001,1,0.0465189545876906
10.0,0.5,0.001,2,0.046257789983505236
10.0,0.5,0.003,1,0.045387805712776445
10.0,0.5,0.003,2,0.045960789641545825
10.0,0.5,0.005,1,0.04740264796358073
10.0,0.5,0.005,2,0.04707715945201195
10.0,0.5,0.008,1,0.0497020944280703
10.0,0.5,0.008,2,0.05050355648651761
10.0,0.5,0.013000000000000001,1,0.05472765275984588
10.0,0.5,0.013000000000000001,2,0.05393194982565553
10.0,0.5,0.02,1,0.0587613800172561
10.0,0.5,0.02,2,0.059241308618160175
10.0,0.5,0.03,1,0.06524162084052551
10.0,0.5,0.03,2,0.06514721005425544
25.0,0.05,0.00125,1,0.10342703997590051
25.0,0.05,0.00125,2,0.1032389841700181
25.0,0.05,0.00375,1,0.11673566167294563
25.0,0.05,0.00375,2,0.11701610209028099
25.0,0.05,0.0025,1,0.1095925496586211
25.0,0.05,0.0025,2,0.10863442596236945
25.0,0.05,0.0075,1,0.1392944633911871
25.0,0.05,0.0075,2,0.13953859463548968
25.0,0.05,0.0125,1,0.1630548922287361
25.0,0.05,0.0125,2,0.1640108058893349
25.0,0.05,0.02,1,0.1920291589182389
25.0,0.05,0.02,2,0.19041702972806024
25.0,0.05,0.0325,1,0.22685130331718384
25.0,0.05,0.0325,2,0.22648385842166743
25.0,0.05,0.05,1,0.26162714424931516
25.0,0.05,0.05,2,0.26182126253198396
25.0,0.05,0.075,1,0.29723165349128355
25.0,0.05,0.075,2,0.29764528902616433
25.0,0.15,0.00125,1,0.07253426888895818
25.0,0.15,0.00125,2,0.074058432694567
25.0,0.15,0.00375,1,0.0655485218260518
25.0,0.15,0.00375,2,0.06573696934527554
25.0,0.15,0.0025,1,0.06635548785091301
25.0,0.15,0.0025,2,0.06739989576609219
25.0,0.15,0.0075,1,0.06923077869820608
25.0,0.15,0.0075,2,0.06848012273186328
25.0,0.15,0.0125,1,0.075009899791753
25.0,0.15,0.0125,2,0.0743009689293778
25.0,0.15,0.02,1,0.08262549007114935
25.0,0.15,0.02,2,0.08282267852686262
25.0,0.15,0.0325,1,0.09675448174821481
25.0,0.15,0.0325,2,0.09701626708709041
25.0,0.15,0.05,1,0.1139602662340045
25.0,0.15,0.05,2,0.11279606795311595
25.0,0.15,0.075,1,0.13212331262063626
25.0,0.15,0.075,2,0.13163997754127887
25.0,0.1,0.00125,1,0.0793745175429072
25.0,0.1,0.00125,2,0.08243166950635303
25.0,0.1,0.00375,1,0.07836100899938366
25.0,0.1,0.00375,2,0.0781101759703979
25.0,0.1,0.0025,1,0.07739759446427597
25.0,0.1,0.0025,2,0.07690662462911552
25.0,0.1,0.0075,1,0.08590212164107149
25.0,0.1,0.0075,2,0.08551310102639283
25.0,0.1,0.0125,1,0.09737073118458973
25.0,0.1,0.0125,2,0.09750387205066145
25.0,0.1,0.02,1,0.11150258943906749
25.0,0.1,0.02,2,0.1121002578051225
25.0,0.1,0.0325,1,0.13188241567936815
25.0,0.1,0.0325,2,0.13135722139821285
25.0,0.1,0.05,1,0.15508796617312398
25.0,0.1,0.05,2,0.15602383440696732
25.0,0.1,0.075,1,0.18180505464967245
25.0,0.1,0.075,2,0.18189888455834943
25.0,0.2,0.00125,1,0.06741577113307592
25.0,0.2,0.00125,2,0.06612259432390316
25.0,0.2,0.00375,1,0.0591618341165231
25.0,0.2,0.00375,2,0.05957179723930709
25.0,0.2,0.0025,1,0.06159794084485957
25.0,0.2,0.0025,2,0.06090940927733943
25.0,0.2,0.0075,1,0.06010166313661449
25.0,0.2,0.0075,2,0.06007335517500783
25.0,0.2,0.0125,1,0.06355568895904425
25.0,0.2,0.0125,2,0.06352113865806872
25.0,0.2,0.02,1,0.06975393672932972
25.0,0.2,0.02,2,0.06945093586657683
25.0,0.2,0.0325,1,0.07859590690899806
25.0,0.2,0.0325,2,0.07822220447546419
25.0,0.2,0.05,1,0.09080107596038645
25.0,0.2,0.05,2,0.08968102644440755
25.0,0.2,0.075,1,0.10405403572325074
25.0,0.2,0.075,2,0.10428416897621652
25.0,0.3,0.00125,1,0.05955201606639976
