Tgran,Theta,Z,Z_c,a_c,a_c_str,a_c_w,a_c_wk,chi,cv_f,dZ_eff,f_mean,label,mu_g,pr_f,seed
0.001,8.938256833333334e-05,3.165012345679012,3.0458020963488446,0.07441562414660216,0.23927928271316817,0.20785384575296792,0.04985128879002461,0.04580209634884452,0.7665933903449027,0.11921024933016744,11.131859408125559,E1.0e6_mu0.3_T0.001_s3,0.3,0.6298566740338302,3
0.003,0.00019241412,3.273037037037037,3.048005178520794,0.07324253730584744,0.21157365149826587,0.19170414903073454,0.028376981724425137,0.04800517852079384,0.7614288145948462,0.22503185851624297,11.286871197787828,E1.0e6_mu0.3_T0.003_s1,0.3,0.6330032573103144,1
0.003,0.00019122322333333338,3.2989012345679014,3.0482824128634185,0.06755935942147667,0.23313205573859105,0.20534482421645303,0.049108411393875305,0.048282412863418715,0.7749881142745337,0.2506188217044829,11.313565036196032,E1.0e6_mu0.3_T0.003_s2,0.3,0.6247648983089289,2
0.003,0.00019388441000000003,3.2453086419753086,3.045957288349461,0.07131874309600675,0.22730785242206752,0.19670662683677195,0.04624817991707447,0.04595728834946087,0.7547360635803305,0.19935135362584777,10.98692825338987,E1.0e6_mu0.3_T0.003_s3,0.3,0.6370956432975832,3
0.008,0.0003856858966666666,3.3671481481481487,3.060446014579616,0.05967556923720305,0.1865971484364464,0.15800622942318765,0.03527956914380928,0.060446014579615986,0.7322594406804798,0.3067021335685327,10.968115699801013,E1.0e6_mu0.3_T0.008_s1,0.3,0.6509567505345693,1
0.008,0.0004225386366666667,3.3407469135802472,3.0603944522110527,0.056995343409556434,0.18946452582692327,0.1639917142308186,0.04419646377637687,0.060394452211052656,0.7549782803678361,0.28035246136919456,10.968677934114798,E1.0e6_mu0.3_T0.008_s2,0.3,0.6369477959245198,2
0.008,0.0004048297433333333,3.360969135802469,3.062237071772256,0.06303412512619358,0.18271314745244824,0.1628466812844632,0.027006787018985654,0.06223707177225571,0.7522711847918965,0.29873206403021335,10.618271178927786,E1.0e6_mu0.3_T0.008_s3,0.3,0.6386079154379721,3
0.001,0.00025060278,2.6788024691358023,3.014332984660698,0.08722098681595962,0.21953897204409206,0.20319378133790605,0.028917857876485653,0.014332984660698087,0.778109346732966,-0.33553051552489555,14.5369018706785,E1.0e6_mu1.0_T0.001_s1,1.0,0.622879621578365,1
0.001,0.00018893386666666667,2.6871358024691356,3.0129098820301063,0.09562898686284411,0.22270007488202873,0.2008676987776172,0.008180431463404386,0.012909882030106297,0.7471539912985333,-0.3257740795609707,13.87047825915353,E1.0e6_mu1.0_T0.001_s2,1.0,0.6417536395645015,2
0.001,0.00020145970999999998,2.6463395061728394,3.010741218559634,0.0941577072485188,0.21586132322396417,0.18905664041715686,0.0071079253909676465,0.010741218559633838,0.7266978370688834,-0.3644017123867944,13.981787239257512,E1.0e6_mu1.0_T0.001_s3,1.0,0.6544136176553752,3
0.003,0.00034434137999999996,2.727611111111111,3.013286639874968,0.08076786802092331,0.22899726884754998,0.19782647318267416,0.02741279111444186,0.013286639874968075,0.7474756167051835,-0.28567552876385705,14.013106076775406,E1.0e6_mu1.0_T0.003_s1,1.0,0.6415538504259389,1
0.003,0.0003708978133333334,2.6928888888888887,3.0149599979656476,0.09800981359285302,0.22754496104653177,0.2011860185033313,0.013147747061129053,0.014959997965647578,0.7288715814294108,-0.32207110907675895,13.674644142301837,E1.0e6_mu1.0_T0.003_s2,1.0,0.6530633507702152,2
0.003,0.000366837,2.733993827160494,3.0137894882746323,0.08764612402954629,0.23179112766636814,0.20243822439198472,0.020067421526052502,0.01378948827463232,0.7394035234494649,-0.2797956611141381,13.312493273775601,E1.0e6_mu1.0_T0.003_s3,1.0,0.6465355636058319,3
0.008,0.00071097659,2.799981481481481,3.0186593163654885,0.08512175645817088,0.21620221229592598,0.192880527097847,0.025389888520353156,0.018659316365488475,0.7556943582252401,-0.21867783488400727,13.525006201436403,E1.0e6_mu1.0_T0.008_s1,1.0,0.6365102311926196,1
