mu_g,Tgran,seed,Theta,mu,mu_t,A_c,A_n,chi,f_mean,cv_f,pr_f,ncon
0.05,0.013,2,0.000595453817245509,0.19820345020493707,0.00026988821139560943,0.030195197016820673,0.03578265578417277,0.4049375477815619,7.968104926719069,0.7575880614921922,0.6353514739967905,12390.4
0.05,0.02,1,0.0009951726581736528,0.17806040823813676,0.00039127882845413933,0.027733949295894445,0.03148909376094488,0.4601786268060173,8.046519348464363,0.7518353328821241,0.6388827011847026,12269.5
0.05,0.02,2,0.001005384446526946,0.19015224665826042,0.00029771523194344177,0.02779102796051186,0.03549381640980693,0.4610196414978428,8.039265444715209,0.7534599105369514,0.6378950808598567,12266.6
0.05,0.03,1,0.001661202131437126,0.17130809107850076,0.0003966147100694081,0.026637201598958937,0.030333290978138343,0.5157940204253891,8.100527602854918,0.7482535269302361,0.6410810361248767,12108.2
0.05,0.03,2,0.0016568444335329341,0.17298572895103628,0.00014412065867106972,0.028249869400020493,0.029364000608410247,0.5132087087280871,8.149003800635281,0.7449319308230924,0.6431264391592981,12104.7
0.05,0.05,1,0.0031165495188622758,0.16348607257517828,0.00020149613764370496,0.0280855248833154,0.02634266755922613,0.5821163688068088,8.351754562323425,0.742715898858781,0.6444873200326018,11783.4
0.05,0.05,2,0.0031345179733532937,0.16608106957217583,0.0002812401180015378,0.027072786425979916,0.0281938210069032,0.5830452618369788,8.35898086616907,0.7489779590353189,0.6406377084810957,11779.1
0.05,0.08,1,0.005665281968562874,0.1568380296041654,0.00017608187677139973,0.027808414379901735,0.024412235727521915,0.6364880612126129,8.66693793319817,0.7489877175887211,0.6406251986718718,11343.2
0.05,0.08,2,0.00569310122005988,0.16724244313668407,0.0002869299953363733,0.028619142476778898,0.027032695228541886,0.6341816517782835,8.678208649124477,0.7534339453967219,0.6378953990399643,11352.8
0.05,0.12,1,0.009406510227544912,0.15057099971978913,0.0002997500139194967,0.028305435938106537,0.02178497865134699,0.6815609830808198,9.077450209832108,0.7614064625708473,0.6330246750397801,10841.2
0.05,0.12,2,0.009373240897005988,0.1618934882856758,8.699402195192429e-05,0.03044640270720317,0.023489095356039248,0.680203875442434,9.103276837493642,0.7601028001187279,0.6338134006538091,10856.5
0.0,0.0005,1,0.00017758697423952098,0.5413387460641459,0.0,0.09996481101813336,0.08048143978817081,0.0,5.965163037246589,0.887338107864743,0.5595362921273188,10477.7
0.0,0.0005,2,0.00018465669315868263,0.5606134386015061,0.0,0.1078666836438174,0.07900446310501101,0.0,5.8641292421086675,0.8895048126941795,0.558368197030974,10249.6
0.0,0.0005,3,0.00019010293479341316,0.5287633112221715,0.0,0.09769191873585611,0.07856251918487228,0.0,5.961925400356373,0.882997621150315,0.5619482047708841,10477.0
0.0,0.0015,1,0.0002938929551497006,0.15917866485585874,0.0,0.023625676310149436,0.029433879194875657,0.0,7.743777896384754,0.7602041061065663,0.6337531806647548,12733.0
0.0,0.0015,2,0.00030080037038922157,0.1671960509069957,0.0,0.024786195845871776,0.03094582149334422,0.0,7.753120495976555,0.7635302185186846,0.6317269206535766,12733.5
0.0,0.0015,3,0.0002929801802694611,0.1596250005586211,0.0,0.023922949409408097,0.0292853853203426,0.0,7.724194846675009,0.7646734042747692,0.6310482333029847,12713.9
0.0,0.001,1,0.00023624378937125748,0.16096904238346188,0.0,0.023684880560015307,0.029971466205762475,0.0,7.706997510446946,0.7667525106051348,0.6297672556539239,12762.7
0.0,0.001,2,0.0002364077639520958,0.1598603747538986,0.0,0.024018507763043474,0.02926828264521671,0.0,7.71851896196227,0.766902475415959,0.6296759362158705,12734.6
0.0,0.001,3,0.0002394671207784431,0.160663804549436,0.0,0.022745878348010413,0.030808723823157365,0.0,7.746447567201,0.7607627229369026,0.6334252069889105,12759.6
0.0,0.003,1,0.00046343277071856287,0.1552901208189295,0.0,0.022812472507652937,0.028950903759596004,0.0,7.791408460358174,0.7553563574181815,0.6367218928362189,12635.1
0.0,0.003,2,0.00046977457059880237,0.15851749712738217,0.0,0.02386822826588957,0.028970936759761496,0.0,7.783431125305635,0.7585982012347792,0.6347434212956345,12664.9
0.0,0.003,3,0.0004673180883233533,0.15741482420536343,0.0,0.02506054156006989,0.027411065775396093,0.0,7.771168482240059,0.7537246896153118,0.6377244892050917,12627.3
0.0,0.005,1,0.0007083070791616766,0.15807738606312358,0.0,0.023972536278507445,0.028719927939203443,0.0,7.818005072165593,0.7532492443359093,0.6380176886295394,12513.8
0.0,0.005,2,0.0007055806651497005,0.1602901342347546,0.0,0.02433514576859353,0.029094899190493184,0.0,7.835431123596932,0.7513671483688527,0.6391632706241009,12553.9
0.0,0.005,3,0.0007047925331437126,0.16084732769354035,0.0,0.024896274452348398,0.028719499888185784,0.0,7.850773009596442,0.7592059341884925,0.634368747347498,12565.8
0.0,0.008,1,0.0010588711288023953,0.15949426269102104,0.0,0.02411546315359977,0.02904929180603218,0.0,7.899044585643894,0.751332458353505,0.6391897128934634,12423.6
0.0,0.008,2,0.001058243704491018,0.1533525412412801,0.0,0.024462689707107684,0.026654825830563788,0.0,7.9548186895581114,0.7453480071971175,0.642868333408601,12413.1
0.0,0.008,3,0.0010585972179041915,0.1565830789692924,0.0,0.02560742176422857,0.026586937896552067,0.0,7.923979397582353,0.7496010219923794,0.6402515413773427,12421.3
0.0,0.013,1,0.001641535751497006,0.1580663154531834,0.0,0.024593046882616328,0.02809572368621984,0.0,7.9970319336797235,0.7495993985950351,0.6402580869119489,12234.0
0.0,0.013,2,0.0016461742766467064,0.14340763338519752,0.0,0.02322061509035695,0.024581928911239132,0.0,8.086669665022631,0.7421524951939794,0.6448376272272487,12251.0
0.0,0.013,3,0.0016512804068862274,0.1572891567719636,0.0,0.02470517365061671,0.027724546865091026,0.0,8.008528331536876,0.7503032386771405,0.6398282169722013,12238.3
0.0,0.02,1,0.0024683047715568862,0.15376239133502648,0.0,0.026182223593530878,0.025071905829536934,0.0,8.12803689988562,0.7424755755823789,0.644639853857913,12035.7
0.0,0.02,2,0.0024712654350299403,0.15094706245356246,0.0,0.0250899237550829,0.02522576341013885,0.0,8.193950198329848,0.7445613324901402,0.6433583934099972,12061.5
0.0,0.02,3,0.0024722134640718565,0.14903101991379614,0.0,0.023388186939821323,0.02628881983119997,0.0,8.185741450676307,0.746059560326257,0.6424367979708038,12031.2
0.0,0.03,1,0.0036790147781437118,0.14650553160775118,0.0,0.02510489346945289,0.02373028534472625,0.0,8.293109120982196,0.7435425774364189,0.6439949023880631,11799.4
0.0,0.03,2,0.0036559650026946108,0.1482152529303002,0.0,0.024747952359848262,0.02465713160509983,0.0,8.332483113118048,0.7459220897772519,0.6425186160758936,11823.4
0.0,0.03,3,0.003659337029041917,0.1513500383249689,0.0,0.026331647092711748,0.02411836539098759,0.0,8.340787622775716,0.7454276234809241,0.6428181349493278,11814.9
0.0,0.05,1,0.006064347408982036,0.14027478267905877,0.0,0.026034857641420613,0.020723403246926887,0.0,8.613188442900901,0.7502947544406176,0.6398241548859872,11442.9
0.0,0.05,2,0.006104969171257485,0.1382385423077665,0.0,0.025094800964483,0.020984712287035998,0.0,8.66444348084093,0.7461825099335602,0.6423646392500549,11423.7
0.0,0.05,3,0.006072543987724551,0.14691395081569833,0.0,0.02611104710136828,0.02286026761789557,0.0,8.656585321585766,0.7477914623427215,0.641364785077484,11406.4
0.0,0.08,1,0.009831678582934133,0.14327119324854223,0.0,0.026670489188214734,0.021086576184216232,0.0,9.011096708426736,0.762330088712857,0.6324629795697772,10930.2
0.0,0.08,2,0.009850672511377246,0.14574166136727454,0.0,0.02691714389964664,0.021663410513616362,0.0,8.993063898200948,0.7566558328245307,0.6359275506882052,10904.5
