mu_g,Tgran,seed,Theta,mu,mu_n,mu_t,A_c,A_n
0.3,0.12,1,0.003922098186826347,0.2194061883507455,0.21625034728570372,0.003155841065041759,0.03644172385734111,0.035641725158332166
0.3,0.12,2,0.004009953077245509,0.22015091971382234,0.2187392600257099,0.0014116596881123718,0.03520636433461625,0.03770671958194575
0.4,0.0005,1,4.5578969661676646e-05,0.5626937094512412,0.5026189624389662,0.060074747012275005,0.06749733060396598,0.10004232372926661
0.4,0.0005,2,7.366129452095809e-05,0.5936090661840232,0.5257483206479083,0.06786074553611493,0.07614159995886569,0.0991078429917283
0.4,0.0015,1,0.0001165608723053892,0.5412835064614763,0.47321430236055395,0.0680692041009224,0.06594442083808043,0.0917936777562576
0.4,0.0015,2,0.00011554281173652694,0.5349235994934511,0.47031776008756027,0.06460583940589085,0.06569260696646348,0.09107997946298622
0.4,0.001,1,8.092318500598804e-05,0.5430861634833666,0.47069738779936876,0.07238877568399774,0.06839369438196886,0.08850543386753658
0.4,0.001,2,8.420736235329341e-05,0.5419752362902202,0.4765150657705582,0.06546017051966212,0.06674176060691218,0.09209659423652027
0.4,0.003,1,0.0001907111861976048,0.5252511167883157,0.46602267320745927,0.05922844358085644,0.06569839983861275,0.08964249245826957
0.4,0.003,2,0.00020252716164670658,0.5235086493774312,0.4650678983344707,0.0584407510429606,0.06298204662845187,0.09204058879989224
0.4,0.005,1,0.0002802558606886228,0.5091509247142234,0.45825330041038936,0.050897624303834016,0.06199960797610119,0.09075149347010646
0.4,0.005,2,0.0002910066122155689,0.5116791642943745,0.454612956445409,0.05706620784896567,0.06208327884395294,0.08945437401548696
0.4,0.008,1,0.00043673728251497,0.48513265940798944,0.43834168458247824,0.04679097482551123,0.05872614858683021,0.0873877460224101
0.4,0.008,2,0.0004252619282335329,0.49682954298799764,0.4472389082026324,0.0495906347853652,0.0613334759305219,0.08774616083868728
0.4,0.013,1,0.000579869155508982,0.45262895395714425,0.41302734661213286,0.039601607345011405,0.05431090838315651,0.08336487280961236
0.4,0.013,2,0.0006084221384131737,0.46706546338789673,0.4268590017113163,0.04020646167658047,0.05699185768381946,0.08529447521179019
0.4,0.02,1,0.0008154486124251495,0.44810298698958717,0.4160710094647536,0.03203197752483361,0.05426378688739928,0.08442655100150685
0.4,0.02,2,0.0008336212775149701,0.4394290230886447,0.4082445255322545,0.031184497556390255,0.05500598598136545,0.08107552351766352
0.4,0.03,1,0.0011181734309580838,0.38580516224667105,0.3633128620538298,0.02249230019284128,0.05009057656565514,0.07101370987849452
0.4,0.03,2,0.0011044278946107785,0.399282243280459,0.3769137747370158,0.022368468543443293,0.052259234941980606,0.0733786908213707
0.4,0.05,1,0.0016321352700598803,0.34097285194514493,0.328188212963457,0.012784638981687921,0.0469479504026004,0.062448121783303466
0.4,0.05,2,0.001650575559580838,0.33922248214214423,0.3276164165362221,0.011606065605922153,0.047384757145367364,0.061820712594846124
0.4,0.08,1,0.002459295745508982,0.2781380272590951,0.27122267027158886,0.00691535698750622,0.04131416997251296,0.04909338561302032
0.4,0.08,2,0.00250746249251497,0.2836405579893039,0.27811799992480657,0.005522558064497287,0.042002770042408266,0.05070323127940669
0.4,0.12,1,0.003761866830239521,0.2506035339650117,0.2468012751242039,0.0038022588408078164,0.037936696803466216,0.04433039749837897
0.4,0.12,2,0.0037403465467065865,0.24994027177540837,0.24527645432943826,0.004663817445970105,0.039313907393689396,0.04244491084792489
0.5,0.0005,1,5.1003910248502996e-05,0.5660863946863445,0.48466314527330356,0.08142324941304085,0.07038480171610789,0.09116958134031106
0.5,0.0005,2,6.177572017365268e-05,0.5984811858675203,0.5113703108225425,0.08711087504497786,0.07721423271574691,0.09324253818246085
0.5,0.0015,1,0.00012797153428143712,0.5606484409630508,0.4860997111741104,0.07454872978894049,0.06961493845683733,0.09241830075123694
0.5,0.0015,2,0.00012953405194610779,0.5512143834011065,0.4750788382612937,0.07613554513981281,0.06876287497110387,0.08959673966971243
