P,mu_g,Tgran,seed,mu,a_c,a_n,a_t,Theta
5.0,0.05,0.015,1,0.09173007887908402,0.08331294328320343,0.09647965748265645,8.929828397334427e-05,0.0010262458835714285
5.0,0.05,0.015,2,0.09257827472865178,0.08464952672894249,0.09468894414439627,0.0003147091543743494,0.0010249093714285713
5.0,0.05,0.015,3,0.08658496293415952,0.07618223312937386,0.09348894532165757,0.00015689104640430787,0.0010503235489285714
5.0,0.05,0.015,4,0.09756661086723128,0.08624141281162555,0.10408838894952627,0.00015715677602220695,0.0010602066732142857
5.0,0.05,0.03,1,0.09579350473567809,0.09069116215391672,0.09510836832680142,0.0003451558693899849,0.0023659673678571433
5.0,0.05,0.03,2,0.08346709946644683,0.07997130231717503,0.08218880577494456,0.0002748774317518369,0.0023248452857142854
5.0,0.05,0.03,3,0.09074036897611298,0.08428101596961723,0.09322693649545888,0.00022132641675247597,0.0024096497285714287
5.0,0.05,0.03,4,0.07934787491949641,0.08004492138893254,0.07474833013843157,0.00017482385590590459,0.0024071133357142856
5.0,0.05,0.06,1,0.07660943665388864,0.07776816288135617,0.07113788074806268,0.0003848921438327233,0.0053046508142857145
5.0,0.05,0.06,2,0.07945324398327316,0.08377645197716059,0.0710563469728324,0.0003684930253458987,0.005289946628571429
5.0,0.05,0.06,3,0.08522851009087534,0.09976631871507599,0.06635224685210422,0.00015937554516520734,0.005359338575
5.0,0.05,0.06,4,0.08857991974078155,0.0938880936049606,0.0792259235567991,0.00013209551312132634,0.005368465342857142
5.0,0.05,0.125,1,0.06442235370822467,0.081049590113179,0.045131794674930836,-0.00014204341048582633,0.01283112032142857
5.0,0.05,0.125,2,0.06910478040132437,0.08110363492332483,0.05458663977027653,0.00026049526902992374,0.012695895749999997
5.0,0.05,0.125,3,0.061850091589647924,0.07541875850076492,0.047885129750016665,-4.442020141253846e-05,0.012811665642857142
5.0,0.05,0.125,4,0.06627029000784168,0.08129506213153147,0.048751363841076215,2.191025291920429e-05,0.012854356928571427
5.0,0.15,0.00075,1,0.2698376978771973,0.20266125345115682,0.3275212093374084,0.0026579039477380487,6.431869053571429e-05
5.0,0.15,0.00075,2,0.27433010733724317,0.19103113248879894,0.34561084282221954,0.003950343104568258,6.492045178571428e-05
5.0,0.15,0.00075,3,0.3227134059665592,0.3437328928419052,0.29003446275389194,0.0035687354149224085,6.921007942857142e-05
5.0,0.15,0.00075,4,0.26934857879343455,0.2087137555493747,0.32079453062054875,0.0031745440530754577,6.310295835714286e-05
5.0,0.15,0.0005,1,0.33520704274638147,0.31753934863655175,0.343864845012164,0.0037375003619295115,6.306712703571428e-05
5.0,0.15,0.0005,2,0.32878907991457523,0.3266684241045602,0.32192058465057094,0.0034006318685470723,6.218301139285715e-05
5.0,0.15,0.0005,3,0.3302984603256439,0.34227307659799616,0.3075731779395247,0.004569984560766351,6.031222592857144e-05
5.0,0.15,0.0005,4,0.18170242221427874,0.11263491623871694,0.24410465345015372,0.00053480039135689,6.919746489285714e-05
5.0,0.15,0.0015,1,0.18880776818365172,0.13269254142385942,0.22617432767459272,0.0133710892154238,8.551064214285714e-05
5.0,0.15,0.0015,2,0.1855270722732522,0.12212681691328815,0.2313282232665249,0.012741042733141097,8.8021566e-05
5.0,0.15,0.0015,3,0.18655353267911506,0.13169851924410597,0.22439181960790971,0.011944685839142296,9.262410807142857e-05
5.0,0.15,0.0015,4,0.1891480860169865,0.12779169919573719,0.22790224692173236,0.01321451418136896,8.749229103571427e-05
5.0,0.15,0.0025,1,0.1697957030296467,0.11399567188038678,0.21068612105028478,0.009767022489148828,0.00013301341785714287
5.0,0.15,0.0025,2,0.17417361694682212,0.11744114817548978,0.21507985424614315,0.009926471550815304,0.0001354343607142857
5.0,0.15,0.0025,3,0.1731075080236364,0.12516748263286337,0.20869290525547277,0.008971582305699414,0.0001373907775
5.0,0.15,0.0025,4,0.17650080476354935,0.12147580381253323,0.2113801180755556,0.009995146604910807,0.00013449890928571428
5.0,0.15,0.006500000000000001,1,0.13665559152353776,0.10307494230245513,0.16138721681040363,0.004306445706170404,0.0003143862589285715
5.0,0.15,0.006500000000000001,2,0.13251469216074427,0.10105395356612888,0.15689777004949168,0.0042938860242255975,0.0003035291500000001
5.0,0.15,0.006500000000000001,3,0.14915325376959496,0.11009721857838727,0.18098925200217192,0.005080837899769098,0.00031485025357142854
5.0,0.15,0.006500000000000001,4,0.14025257225697413,0.10236666532934799,0.16546416947313838,0.0049350570001522485,0.00032017684714285714
5.0,0.15,0.015,1,0.12215497232784606,0.1029819016542053,0.13661857569482783,0.0020669475563952645,0.0007108094639285714
5.0,0.15,0.015,2,0.11914094206303497,0.09294750247315525,0.13917968906094952,0.00235763168841261,0.0007224814996428571
5.0,0.15,0.015,3,0.12208497128637236,0.09713964316926128,0.13730687459251412,0.003441880927112828,0.0007294381850000001
5.0,0.15,0.015,4,0.1197313376431828,0.09389592086442919,0.1371508137453753,0.002117240386604491,0.0007139057935714284
5.0,0.15,0.03,1,0.09797695787492437,0.09617291693332201,0.09529655350484535,0.0008433968850060832,0.0015609675321428572
5.0,0.15,0.03,2,0.1031721466109769,0.09320470961242003,0.10698918985688001,0.0011409587625830556,0.0015831995428571431
5.0,0.15,0.03,3,0.10496614890975496,0.09016155355461232,0.11313570470959083,0.0021099023461732705,0.0015992451535714286
5.0,0.15,0.03,4,0.10241325430583506,0.08569097169162064,0.11198842495238202,0.001204771827648529,0.0015947167392857142
