mu_g,Tgran,seed,mu,Theta,a_c,a_n,a_t
0.06,0.003,4,0.1474714062962963,0.00017607822851851854,0.106237682668191,0.19035246650141907,-0.0016473365770174886
0.06,0.003,5,0.12854867,0.00018314349388888888,0.08808844602503374,0.16211872227712784,0.006890171697838426
0.06,0.005,1,0.12675517851851853,0.0002959784296296296,0.09054155530275435,0.15515829324073774,0.0078105084935449764
0.06,0.005,2,0.1320292912962963,0.00029157386425925926,0.09862066404715394,0.16063811502559266,0.004799803519845963
0.06,0.005,3,0.11203865212962964,0.00029285433722222226,0.08282625395402776,0.14051869909321985,0.0007323512120116782
0.06,0.005,4,0.13038574092592595,0.0002968787411111111,0.09634310338644683,0.16526815201787687,-0.0008397735524718064
0.06,0.005,5,0.1049777123888889,0.00030014945333333337,0.0663577975510286,0.14386895744685715,-0.0002713302201079737
0.06,0.008,1,0.12151373722222224,0.00047412971111111113,0.09483026740537023,0.14669927388839565,0.0014979331506785876
0.06,0.008,2,0.11939370074074074,0.0004707164511111111,0.08875758745874708,0.14739188053849883,0.0026379334842355773
0.06,0.008,3,0.10987963903703701,0.00046774849629629625,0.09271842133041963,0.13161204990499267,-0.004571193161338277
0.06,0.008,4,0.11720831561111111,0.00047409958666666665,0.08702409529752103,0.1409093777414782,0.006483158183223009
0.06,0.008,5,0.12127897574074074,0.0004673539111111111,0.08478080691535386,0.16050103775119717,-0.002723893185069548
0.06,0.013,1,0.09545417377777778,0.0008078965857407407,0.06999377857895205,0.1129723966465432,0.00794217233006031
0.06,0.013,2,0.10608296403703704,0.0008046668479629632,0.08414642328733565,0.1341022325852957,-0.006082727798557258
0.06,0.013,3,0.1021106572962963,0.0008021475218518521,0.07230137284978808,0.12478046591824762,0.007139475824556901
0.06,0.013,4,0.10222768988888892,0.0008005813688888889,0.08394350299675873,0.12238454240726078,-0.001872665626241679
0.06,0.013,5,0.10277447894444443,0.0007931132011111111,0.07672388146510951,0.13034639888488836,-0.0015213224611090315
0.06,0.02,1,0.1072128487777778,0.0013111965537037033,0.08984914203350007,0.12405861007950165,0.0005179454425538743
0.06,0.02,2,0.1118794942962963,0.001304196709259259,0.09125324510381007,0.13029438199737195,0.002211361491410574
0.06,0.02,3,0.08524668035185183,0.0013000611222222223,0.0692036576704645,0.10412910425958091,-0.002839401226341756
0.06,0.02,4,0.0962346580925926,0.0012926051907407407,0.07733227953146778,0.10905920597585254,0.006077830677864882
0.06,0.02,5,0.0987955053888889,0.0013119317407407406,0.0743737419674729,0.12520220162590417,-0.0019849328155992774
0.06,0.03,1,0.1044701153888889,0.002099105461111111,0.09753794823082125,0.11191171880923105,-0.0005094362622745097
0.06,0.03,2,0.10325813572222221,0.002090752366666667,0.085583733879607,0.1183168475169688,0.0026156900478686296
0.06,0.03,3,0.09422400542592593,0.002093076825925926,0.08205292126975548,0.1082625581896629,-0.001867468607566522
0.06,0.03,4,0.11421505827777777,0.0021176753703703705,0.09073949404310547,0.13130762405020716,0.0063829984622429115
0.06,0.03,5,0.10697369888888889,0.0020726756481481484,0.09277040852784109,0.11928771676059582,0.001889272489340857
0.08,0.0015,1,0.16653196944444448,0.00010574064209259261,0.1154794750554321,0.21402977593304812,0.0035546879004087484
0.08,0.0015,2,0.16071431148148146,0.00010358072987037035,0.1118200623607201,0.20299857795100684,0.006609982651235968
0.08,0.0015,3,0.1747034318518519,0.00010052316898148146,0.11229222258944635,0.2250033733126296,0.012111267801627829
0.08,0.0015,4,0.15232465592592592,9.915689064814815e-05,0.10380046129031037,0.19369926369756554,0.007149586863975932
0.08,0.0015,5,0.15154570388888886,0.00010003601077777777,0.09718465428033553,0.20284237465104824,0.0030643788463939614
0.08,0.001,1,0.1601755885185185,7.564825120370372e-05,0.10153722980298574,0.208342623208992,0.010471324025059292
